case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
high-half-64-misses,scan,1,contract,0,0,native,0,875d2eda9592b656e345f9d8f2730b8a9115521f778936a2dd70fa89d0cd1118,6d5ac1a232ec8d3990b0e2b8b5ef300247d49c2ebedb07c9f34f2889191662ad
high-half-64-misses,scan,3,contract,0,0,native,1,4aa94d871b905f2aad6558f3d4a0452aa72127a332fd6b40884b37ea322f5889,c0c420b810227c1601b30e5d4b5baf1b500482e905fb21a5012ea3e46514bea3
high-half-64-churn,hash,0,contract,0,0,native,0,6acdc0df14befcf500d570fa291e5a35e086ade4445d32ca37657663a255bf2c,71c8ea531bd05fe5962ca7e5bf8bae4b79411292f554688dd189b57cc76577fd
high-half-64-churn,hash,1,contract,0,0,native,0,4406807c5cde443b70318b60360a0b3afaab9eb99ab19de3d8f0e7af9e23d56c,42d8c67093c87a81d92ba37c2d47af480799bd930bc0a99d489974678d92460c
high-half-64-churn,hash,3,contract,0,0,native,0,e3f74406de7cd626801d2991d239221d8fd47b05fe3c9f1e042576e1b55fd026,74af98c756ffa2bc96d19dd26260e02b472f5e17ad176d41164af07852dfbb6e
high-half-64-churn,scan,0,contract,0,0,native,0,6acdc0df14befcf500d570fa291e5a35e086ade4445d32ca37657663a255bf2c,31bff49be6acd9b431eb2110d771b3d602a2f18909ca5ff1dd9f2507ccf872f6
high-half-64-churn,scan,1,contract,0,0,native,0,4406807c5cde443b70318b60360a0b3afaab9eb99ab19de3d8f0e7af9e23d56c,70319ed0f61d534182bee7a30c57c4862b6add8afc1745c849fac528c3340847
high-half-64-churn,scan,3,contract,0,0,native,0,e3f74406de7cd626801d2991d239221d8fd47b05fe3c9f1e042576e1b55fd026,a2bae1a0bda909ac34116b736ce9f0281fe2140df327637b665c8f1d5be12661
cluster-64-hits,hash,0,contract,0,0,native,0,e895ffce770664e08151d7d932a5b7b7ef0e4535ad0dc0873ac489dbc79c48b1,53a07a80eb9bcc8483f08ef577c203f6feefeb158314aabb4e48bf0ed2536181
cluster-64-hits,hash,1,contract,0,0,native,0,dcf1061453b9b8544c74f809d558f992eb188eb5bee09788615410f7a67dfe20,b006194061428f5e8d7d9d2ebd7bbcba2943de79cfcdb331cf0687b74ad2cfc1
cluster-64-hits,hash,3,contract,0,0,native,0,1c220391df58240838752fecf8edce20b48c53e3a941ef362bfc37415bcca490,06befe7fab7aa320833c5db1f9c80df0e1d3696f20ed792a69329b8ffd7aa5c8
cluster-64-hits,scan,0,contract,0,0,native,0,e895ffce770664e08151d7d932a5b7b7ef0e4535ad0dc0873ac489dbc79c48b1,2354b22879277a86bc1e0a0b01438144ceb98f4ba71de79ae4396b96b00e8754
cluster-64-hits,scan,1,contract,0,0,native,0,dcf1061453b9b8544c74f809d558f992eb188eb5bee09788615410f7a67dfe20,fc3b41a96e7a131b68eea4ce5a4fd73e81e2ee65cbc87002ae946f7bd912fc01
cluster-64-hits,scan,3,contract,0,0,native,0,1c220391df58240838752fecf8edce20b48c53e3a941ef362bfc37415bcca490,8eca103a2942d3f98f11e5356b6bf9c5a7365adfbac9a3b392727e8001864bf2
cluster-64-misses,hash,0,contract,0,0,native,0,18f298401185e70f066ff01483abc01481ebcc926bc055e5430703182e4560ad,53a07a80eb9bcc8483f08ef577c203f6feefeb158314aabb4e48bf0ed2536181
cluster-64-misses,hash,1,contract,0,0,native,1,a73279d0ecc6c537e019ea7ad029eeef4b7d4c5c45c99b1297983781dba8a63c,205440c9163745f6cc1c9604de6df78afa0fb578ced86e421c048815ea511544
cluster-64-misses,hash,3,contract,0,0,native,1,0e2507f471d3e606bef6156706bbc9b8f49280c6de9408b7252af730c0a1b321,16e87914b4345a962d48f59427f832ffe2132f6cd0f896d22c5585211de0c6f1
cluster-64-misses,scan,0,contract,0,0,native,0,18f298401185e70f066ff01483abc01481ebcc926bc055e5430703182e4560ad,2354b22879277a86bc1e0a0b01438144ceb98f4ba71de79ae4396b96b00e8754
