roots,simulations,capacity,physical_capacity,sample,order,peak_rss_kib,process_seconds,coordinator_seconds,stdout_sha256,work_sha256
16,64,4097,8192,0,1,29044,0.332041818,0.072,8fbb3c2783f9b1560c11e9a43b14d1b53dae5cfdc31917b9036a374bd95c99f4,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,8192,8192,0,2,29100,0.329591421,0.072,62758e43a0590a01263608c0f536bec110ab2db8c56f2cacfcbfa3d733f257c5,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,16384,16384,0,3,45532,0.335578105,0.072,a99f92272af55e4de3177b10bfa6856ba5bd68d7c04991e77972eb740984a668,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,65536,65536,0,4,143708,0.354199084,0.071,850031efa363ba26da5069aef56c2daab33dc8832abdcf5df61b70e30d7566f7,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,4097,8192,1,0,29096,0.329268471,0.072,0ce02ac6720a61f1e639216b46f41a1aa528c38bbe94516c41063916546d37e3,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,8192,8192,1,1,29020,0.328925163,0.071,8abbd9ded963a8c9453705d1a9974dbc59f6646e62968a8358be94f52f2fbf81,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,16384,16384,1,2,45392,0.331651524,0.071,6c065d8fdd6216715419ca02887c0aa1461e23e6568ac21be81a0ccf6927932b,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,65536,65536,1,3,143728,0.356624512,0.071,d826379bb07d98aabbdd704329c49d570ed493e8e774699ec912b1590cb0000c,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,4096,4096,1,4,20772,0.33410934,0.072,70d5858cdc511ac6dbd07e15d7a08633b4578b729db7111d1e58ae16010e3457,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,8192,8192,2,0,28972,0.329277015,0.072,13babe57021a0e5c3f614f770d062afed6b9c38e2ae4ee1760fdf8626c058356,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,16384,16384,2,1,45348,0.334459516,0.072,753702512e568241a0c83dc78a13026b54fb6bd0d770e71b6e59d3f27067f52b,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
16,64,65536,65536,2,2,143656,0.356010683,0.071,2d7dc25792ea079dc2ab5780fff39f5ee1cf62e49175dfb198709e2ce76433ae,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
