case,async,pair,order,arm,repeats,work_sha256,repeat,wall_seconds,cpu_seconds,coordinator_seconds,stdout_sha256
single,False,4,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.069890402,0.06947699999999983,0.015,80c52b17e12789a65912a677f79bec05f248f0ad132f254281d18088c4b08bef
single,False,4,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.068805944,0.06836800000000084,0.014,bfb53745595c384daf64ddea0d600d72ffc33f25de107505012dc636921ef166
single,False,4,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068939482,0.0685009999999999,0.014,6dc265f0547166f2afada7e0077c46e996d713da515427b7205e8e9c5df0226a
single,False,4,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.067239869,0.06682800000000048,0.014,577cda848c6d0caac3a7e8c209ce4ef1702e683bc11830fac8e086c5411a5e29
single,False,4,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.074425895,0.0740149999999997,0.014,47a76b139edb5a86bd38e1db6bfc72f1974ea96f50dcf8c43e22d6f82b998eb4
single,False,4,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.068684387,0.0681950000000001,0.014,5a706eaa06b8896f07f5f9a0b6ecbd8672ff41c75aaf782655978f25dd3a596e
single,False,4,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.069285947,0.06886300000000008,0.014,5a706eaa06b8896f07f5f9a0b6ecbd8672ff41c75aaf782655978f25dd3a596e
single,False,4,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.067830488,0.0674450000000001,0.014,24d744c07a775cd21aa869c4bd35227949ff8c4f28c13780fafa2b8d528ea545
single,False,5,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.069356659,0.06887799999999988,0.015,bae9b15ec92fc238d864e97f6272d34f4e12af1fe47b4a1648c9ae4d96bb3f25
single,False,5,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068228109,0.06778900000000054,0.014,6c181718f9aa7fe826ab3a9cf6292e0d990dd6c45980a5ce979b35cd24cf1fb3
single,False,5,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.068759959,0.06832200000000035,0.014,a7a1ec8a060dbf98078ccdead3489682680b2b27754634ee607744fef629e139
single,False,5,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.067125045,0.06674300000000005,0.014,577cda848c6d0caac3a7e8c209ce4ef1702e683bc11830fac8e086c5411a5e29
single,False,5,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.069095001,0.06856700000000002,0.014,abc61c081c009ca273d61313aa5c6935c4edd70ba76b9feffa4ce76f8dbf4bdc
single,False,5,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.069297388,0.06890600000000001,0.015,0b7cb5abf17d9cf126e7bde46fdc9a3dbb3b0c0a9d32dfdbd295c533c53a70bb
single,False,5,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.069142019,0.06871400000000025,0.014,c09aee290e3a0279eea21a87f5fb0cb6a603cea222c41f49419c508b922f96ed
single,False,5,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068566428,0.06813500000000022,0.014,d94c28c0cbf355cd9a63580b7b01400d9d1f8db2d863176723a535ac9e68f0ef
single,False,5,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.070590445,0.07016300000000009,0.016,7af6f9f4c035c771a1aa9ceb58c225a5e422abfabdd435e855d79fe78d7f925b
single,False,5,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.069333746,0.06882700000000061,0.014,bfb53745595c384daf64ddea0d600d72ffc33f25de107505012dc636921ef166
single,False,5,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.068201908,0.06779099999999993,0.014,7780c9fb34b33a5814aceba6786af01c95e7ade277acc68659f75a58904dfa18
single,False,5,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.067760087,0.0673839999999998,0.014,cb7f38586c5df1ae027fd18da01c6faa6884b322964703ff302848df98ab1e21
single,True,0,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.269505862,0.0882429999999996,0.209,ff457027d1b2d300d9dc3165bbbefc081d47565a47e0a38478066d73a2bd1962
single,True,0,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.278394267,0.08757600000000024,0.216,c6431f63731a0d7f8d52e2b9b0c17668ad10aeec5c7a5fcaaa03534d1b46b7e0
single,True,0,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,2,0.275931615,0.08605000000000043,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,0,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,3,0.268727347,0.07815799999999998,0.213,fefe4f47c8150edb9df701d4b4e1fa5b23a8f11e4c9e4c95c2a5269773fb19f8
