phase,index,arm,size,steps,milliseconds,stdout_sha256
calibration,1,ring,64,65536,4,f404590f8a03373c3f5b8dc4f000e173ad58c123265d08ee1c02d9b52badefaa
calibration,2,list,64,131072,60,cb691a3347a51f4570640be25b1e5c1a5f34051064a7f10e9346fb97b195fbef
calibration,2,fifo,64,131072,8,e9a48ba116f97c8ba3482e43286c029a211ae3d727ca94c71e4768d72cac8ed8
calibration,2,ring,64,131072,9,bbfb8f92b1287144fff6a9b66e4e241acd1b34794eba9b59b7531a1ec175ad2b
calibration,3,list,64,262144,250,08c7ac8623f36583e1a4115f9e01cfa0c0ecff701568b9d310c9b5a3d3b658a1
calibration,3,fifo,64,262144,16,c6b6d8392e6e6868c9d6de812eb397cee4d78d7dfea204ca349cc43dafe918f5
calibration,3,ring,64,262144,17,36a82d7744feccfc7579349ba514d5c4f32f63bccb571fa78723510590f7004a
calibration,4,list,64,524288,273,0645602c5f09b0c990d4ee694acf1add4fc94707b1afece869a346098deee0ef
calibration,4,fifo,64,524288,35,cb2c0f8b2aa8c7f860fd1978285794f9c8bcaf8170ac2046bce62a9ed1889794
calibration,4,ring,64,524288,37,575c46dcb32139e8d45480f0d3b8d0b71c49168fd4d1073c6e65cce2f628224b
calibration,5,list,64,1048576,574,8611e8f1d6bf9b938cb14ecd2e021fdf21c1ae423d64be03069fe044ed891be3
calibration,5,fifo,64,1048576,68,9e69d485ce48706024895ead74482a7ee2bd99556a2012ae36195b79840c5532
calibration,5,ring,64,1048576,174,a0aec15fea744b3dbb6f9a783a5b750bad72f3c9a41a22b7cd2015a7a8590833
calibration,6,list,64,2097152,1183,3dd86397e4a057f2a1224531a4b5213c08ab90caf4ff11826988a3aaa0e95477
calibration,6,fifo,64,2097152,122,1704e494056fe23e35926aafb6fb180afd78bbf9bf0b87f3558e061fed0d931f
calibration,6,ring,64,2097152,154,26e4d34c904fcb322fb84e937e06456cff6ed5265a552814cc4e083f56f48e56
measurement,0,list,64,2097152,1169,547f671ac02a11ef545c0c860eb031f09ed1c8e085cef28d24602f3061ad0bc8
measurement,0,fifo,64,2097152,144,c3ca418210881e74fe5134ee6f15a5cb9d8efd41ba8e4847aa467eab4a3127bd
measurement,0,ring,64,2097152,239,be390137a34b14d2510904d3de3e79b3a1e7ac674a0d9bc2c22f6c9e4bb7843d
measurement,1,list,64,2097152,1142,4692b62bc7465d9aaa8c8576d7e945183e3be2bc7cd9f81f0155a2ca65cd4de0
measurement,1,ring,64,2097152,147,c9363ea641b3493d714dc19efff862d9e7091ae5c330148d73efa12dbc8e2718
measurement,1,fifo,64,2097152,142,b5e03bae93dee8577ee0acdcd3af6d95871db524f062b0af89b86fc6ef57be9c
measurement,2,fifo,64,2097152,248,beb068ac3b74f380b8e6e2f927e82d541e85c9d411dbc0bd21fc46a3dcf41d92
measurement,2,list,64,2097152,1062,6afd1737296ce1520944a0e2ea77a284b6c92bac266eb491c2df60db4794aa5a
measurement,2,ring,64,2097152,157,469a6a9be924fce434f846fe9486b8369af86fa7645a827dba488b062e88d15b
measurement,3,fifo,64,2097152,139,7bf0d51260cf9b7830325c9471af74872a288cf1c94af465d32407afac30de17
measurement,3,ring,64,2097152,181,344c69fa452916c3868960a63c9814f1a33d4b666878028d77ab7dcfd78ae63e
measurement,3,list,64,2097152,1113,2006e537fc8769d79562885a48fcd34a9fe107c88429c4f00bc2470efe64c048
measurement,4,ring,64,2097152,270,7554a2e1eb7fb99e71129525c9b1420bf2521445fa5b22352d6f7ff91b44ced8
measurement,4,list,64,2097152,1164,b69f2b85898fb02a83f3df6014d3c2cf359d00d382e1ad4072db3e0607928f0f
measurement,4,fifo,64,2097152,147,53b80248f36d4ecc963948519ed87c0fbad0a42d6cf7dba7ede8e82012e3c75e
measurement,5,ring,64,2097152,144,37e0dbeb676c885380e86fbbbd4e02f47e9238ef299d5b71ae5fdbd5ebd95d53
measurement,5,fifo,64,2097152,234,b47456a111bcbfd159d1b8b9cf7debbe65cc256a8be46c5da20e90772df173bc
measurement,5,list,64,2097152,1157,277264446d37f440f8d66462eb1426a5b13f045c2d457a72b8ab7269a6a869e4
