case,async,pair,order,arm,repeats,work_sha256,repeat,process_seconds,coordinator_seconds,stdout_sha256
openings-16,True,2,0,list,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.48127574,0.872,446d698f70d4f28900bc448e966ebc8e7e80ee2d03293cfbaae767e2fa49666c
openings-16,True,2,1,fifo,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.480634037,0.862,e37094177935ca57a2f669b77c63ca02ab5de027a4729f91ecb43d20f0f86cb1
openings-16,True,3,0,fifo,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.47988103,0.868,a8f831a3e4ac93efa8ae637dd60a2d955d134420c805b9ef4831f3001e1b137e
openings-16,True,3,1,list,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.470772065,0.869,a1ad7e972563e00039f847c854c3186c3149e3626af42558c16b64ce9d922f93
openings-16,True,4,0,list,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.468034941,0.867,581afe09f1676c760baa9d57f10429529c3f5c79c5474becadac87de45b253f3
openings-16,True,4,1,fifo,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.474442649,0.862,e37094177935ca57a2f669b77c63ca02ab5de027a4729f91ecb43d20f0f86cb1
openings-16,True,5,0,fifo,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.478292467,0.866,0be27f0abb7d94fb584dcd4bbe294d14a48029f08c65ecf826a2e7d5865392ff
openings-16,True,5,1,list,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.468047244,0.862,e37094177935ca57a2f669b77c63ca02ab5de027a4729f91ecb43d20f0f86cb1
mixed-16,False,0,0,list,1,0a10f859e20d38bad0699318fd12c4f5d48aeb26da799ae4fa31355254b18771,0,0.604028839,0.131,7e99ee8fce2d4d5ac1245e8f615ee743346d5e2dd0436fbbaaaf42b7c3b49876
mixed-16,False,0,1,fifo,1,0a10f859e20d38bad0699318fd12c4f5d48aeb26da799ae4fa31355254b18771,0,0.600350314,0.133,705cb3e62eeff80d3d7e4bd2e7cbd0b77821862f6303f07c2651ad5bfd4c967c
mixed-16,False,1,0,fifo,1,0a10f859e20d38bad0699318fd12c4f5d48aeb26da799ae4fa31355254b18771,0,0.594871841,0.131,2dae8ce022ef6d4647e88aedd9701fe44bf45df4126113539ffb72fd2172f203
