case,arm,rounds,phase,pair,order,mode,milliseconds,requests,moves,checksum,hits,fills,bypasses,peak_rss_kib,workload_sha256,input_sha256,stdout_sha256
warm-50pct-hits,direct,1,diagnostic,0,0,ubsan,0,8,230,536319571,0,0,8,4376,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,dc51c8b7fa3863ba4495147a182d0801d9e06009684903e5529c1340b54018d4,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-50pct-hits,direct,0,contract,0,0,ubsan,0,0,0,0,0,0,0,4480,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,57dfddbf4fac37fcc9c635dc62882a83e63fa738c329cb9b20f9d3ce8ec32e28,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
warm-50pct-hits,direct,3,contract,0,0,ubsan,0,24,690,1017385041,0,0,24,4376,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,3059003541fab07a5bf02c3b492aee6460653c7fd30f8db544d6ff2ea2f0b6b9,593d4216b1ede02736581614af33dda1962555b8384204d85daedbd9a52c297a
warm-50pct-hits,cached,1,diagnostic,0,0,ubsan,0,8,230,536319571,4,0,4,4440,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,97d14a06578dc633d151ce68e766e9a7b98bc7f974abc6a58361f02d79f63118,aff9aa2d37f6bbfb9b4727da83a92e99196790a7a0e552c8f73824a4c493875c
warm-50pct-hits,cached,0,contract,0,0,ubsan,0,0,0,0,0,0,0,4440,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,25b06e746920d03205f031748eb4a29f1025739328530f626e4798d35306832d,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
warm-50pct-hits,cached,3,contract,0,0,ubsan,0,24,690,1017385041,12,0,12,4440,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,b17625f431e5a5b9ff20815ac514576d69f694b9ed124ca5b676cd67f90a13c3,d569c1027e57f5be75add3a0deaba4cf2042d61c653a7f25ce48ae17cdd66c74
warm-75pct-hits,direct,1,diagnostic,0,0,ubsan,0,8,230,536319571,0,0,8,4396,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,c13f8aa68495a46beca738ddc5ae417b9a3ec4b0fde097465b013a7ed969427b,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-75pct-hits,direct,0,contract,0,0,ubsan,0,0,0,0,0,0,0,4372,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,8ccb1b160c058a8f4bc19883cca165d0e6294061599e4adecce93d0dc200a62d,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
warm-75pct-hits,direct,3,contract,0,0,ubsan,0,24,690,1017385041,0,0,24,4404,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,0910a6fff00275609375e739f3c7970bf5382579ac57794576a91d8ed4ad899d,593d4216b1ede02736581614af33dda1962555b8384204d85daedbd9a52c297a
warm-75pct-hits,cached,1,diagnostic,0,0,ubsan,0,8,230,536319571,6,0,2,4372,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,025d487c294bc63e41e5263f78a0966528bd89b06b4907926b2f1cda9acbcf90,c5d9b9e571be8f39fb90bd2343d1de09a5ed8d80011b75021d7dca1847fdb65b
warm-75pct-hits,cached,0,contract,0,0,ubsan,0,0,0,0,0,0,0,4376,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,0f682ed1b9eb795a0ed60096fc4709f882698942b14714d6a960a3851d76c16a,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
warm-75pct-hits,cached,3,contract,0,0,ubsan,0,24,690,1017385041,18,0,6,4464,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,ba455a54e26274c2d52c219db0a162ab5ca38269e146ffc6ded2ca3088293433,feda143e662f39877d19eef542ea16d5cedc5327002a5c7b92c4b50696a6c624
warm-100pct-hits,direct,1,diagnostic,0,0,ubsan,0,8,230,536319571,0,0,8,4376,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,42f5c224fb4ef256d9226c78e889828f2dff87610c5bd5ab26512d9f4f405fe8,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
