case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
chess-promotion-misses,hash,1,contract,0,0,bmi2-popcnt,0,72ccfc95940e834f31ecfab23d125df78e7d9f26159dda1d608d1b854da543eb,320ee5ba326ed2b930dfd138702344298049ac9600ee75919f664ede70b4dfdc
chess-promotion-misses,hash,3,contract,0,0,bmi2-popcnt,0,f7d50fbbac936ae25d03adcc1ea8f4c4362daa3a4c8e3eb4a90bf87154acb657,d5071ee809908a427b33b834d91a7952a7b291edceeaa966f7e82be167a48ee6
chess-promotion-misses,scan,0,contract,0,0,bmi2-popcnt,0,dee98a0710de55595974d0ec64747121862a29c206f87384c0b4b1ed78de4f98,46801ce63b85899660305dbbca9a615572c3aafa608e97e7154e2cf57e78b78f
chess-promotion-misses,scan,1,contract,0,0,bmi2-popcnt,1,72ccfc95940e834f31ecfab23d125df78e7d9f26159dda1d608d1b854da543eb,6757fcf6fcf2e7514ab31d1f53c64dc3ee29012785b8b984a2cad4eebc1d5c15
chess-promotion-misses,scan,3,contract,0,0,bmi2-popcnt,2,f7d50fbbac936ae25d03adcc1ea8f4c4362daa3a4c8e3eb4a90bf87154acb657,a67b90478240b78cc0f8a3b90ee6cb8ec93e6caf8b5acbabc923bac820a528ea
chess-promotion-churn,hash,0,contract,0,0,bmi2-popcnt,0,24890df2ae60826f630cd2e0a5e68efccbf0fb95c85a917f0c0456d34585a9ff,785e1830a42299a98b370dba33cb760d639776e2d659fbbace81db9d1d0d7f03
chess-promotion-churn,hash,1,contract,0,0,bmi2-popcnt,0,3575f9e9becde89e0e5c145c9d519481a4adddf37b96d2545af6d1c9607b74ba,49587757c8907100bbfa5749c370c79eb1c65d4690ffc0ae307358bb50e4d20f
chess-promotion-churn,hash,3,contract,0,0,bmi2-popcnt,0,29e39480905dbe53e7d05d76ec23fbb95b35c65acdc1826b3d456d90cd361915,651caf9716cc7d3dd2b6e96d133ab7d7e56092aa542405b7110b2aace29013ea
chess-promotion-churn,scan,0,contract,0,0,bmi2-popcnt,0,24890df2ae60826f630cd2e0a5e68efccbf0fb95c85a917f0c0456d34585a9ff,46801ce63b85899660305dbbca9a615572c3aafa608e97e7154e2cf57e78b78f
chess-promotion-churn,scan,1,contract,0,0,bmi2-popcnt,0,3575f9e9becde89e0e5c145c9d519481a4adddf37b96d2545af6d1c9607b74ba,68599bbf6881974995774adb6f2e067118c5fd7a6bd3ea103ba577fe03ebff3d
chess-promotion-churn,scan,3,contract,0,0,bmi2-popcnt,1,29e39480905dbe53e7d05d76ec23fbb95b35c65acdc1826b3d456d90cd361915,9bc86d4f7d88630889c24863face59456f366b074694e78dd0e8ba22c8743598
chess-opening-hits,hash,0,contract,0,0,ubsan,0,850901b59686e0df2093c2a9f5a0baf3a9916cf432133d85e80925ab6f24d737,4a540197cbafe6a698ef405227c728eda94162913569b746bbaaf79d4c2f50a0
chess-opening-hits,hash,1,contract,0,0,ubsan,0,9acf1a4127281904debb092ca70203ee7abd506e40e65145277f8baf9fb38f9c,7320c2da99988b3fd94ba5cf1f93934d813afbd622fa467215de5fa60cd6b529
chess-opening-hits,hash,3,contract,0,0,ubsan,0,793d418aa8c538cbaf76cd6b81fb6f2d8d623f1ad135028161f1be76c9adc97d,1744d161c42c879d77bc96552996145e175a8110eb1ef1812a1f139b4704e840
chess-opening-hits,scan,0,contract,0,0,ubsan,0,850901b59686e0df2093c2a9f5a0baf3a9916cf432133d85e80925ab6f24d737,73f03005e6b37fe98f47dcac8a8c30149d361f7fc85f85448a9757419dd18b74
chess-opening-hits,scan,1,contract,0,0,ubsan,1,9acf1a4127281904debb092ca70203ee7abd506e40e65145277f8baf9fb38f9c,156f4a0357d63865962d1e6a766d37333339a8add16b42ad87bc55c86e10f762
chess-opening-hits,scan,3,contract,0,0,ubsan,1,793d418aa8c538cbaf76cd6b81fb6f2d8d623f1ad135028161f1be76c9adc97d,8473d491297c5982abddf28f182de28e1fa5c7b230761a5fa31f26c7af18e4d8
chess-opening-misses,hash,0,contract,0,0,ubsan,0,6eb5fc748e8b18f6a89f99e7e7cce98da5a3ad863eb505d03a72ba6a3436935c,4a540197cbafe6a698ef405227c728eda94162913569b746bbaaf79d4c2f50a0
chess-opening-misses,hash,1,contract,0,0,ubsan,0,c7d794be37558bbd02c0f31d3ede60d1fc1191383f5de0257aa4326e85620496,331bacc2b4f98badc504ae61b828d9021d0e4d75c83ae60fc7dc8e8ea4693650
chess-opening-misses,hash,3,contract,0,0,ubsan,1,c0b4b54f60f6c849601690354ca28efe84b500e8c9319867821ec2fd130e8049,a1389ef73fe98b8da1561f7d304312d8916b27603658213b16e9a08835a56330
chess-opening-misses,scan,0,contract,0,0,ubsan,0,6eb5fc748e8b18f6a89f99e7e7cce98da5a3ad863eb505d03a72ba6a3436935c,73f03005e6b37fe98f47dcac8a8c30149d361f7fc85f85448a9757419dd18b74
chess-opening-misses,scan,1,contract,0,0,ubsan,1,c7d794be37558bbd02c0f31d3ede60d1fc1191383f5de0257aa4326e85620496,9c913ea18f8896dc382b35141f8812043beb3e20adbd2756fdab065ab3a672d6
chess-opening-misses,scan,3,contract,0,0,ubsan,2,c0b4b54f60f6c849601690354ca28efe84b500e8c9319867821ec2fd130e8049,5c4b22e12eacc52a43bd5d89ac9ff37f0ed71cc4b3215fc1234f6ef7eb631267
chess-opening-churn,hash,0,contract,0,0,ubsan,0,c13a6a5ec29e98c286d68f015934e4d1dc8c080ada3fe5426a89ab204d9869e8,4a540197cbafe6a698ef405227c728eda94162913569b746bbaaf79d4c2f50a0
chess-opening-churn,hash,1,contract,0,0,ubsan,0,53e89c40a80de471e5ce08e5592e3e05835c12e18c94560fa15374738a6d5d77,98e250c248be98aa94261bdc4ac4396a7beabb7c0cb9870c33d1b4a30127b8eb
chess-opening-churn,hash,3,contract,0,0,ubsan,1,0997f2c7e1abc0fd548cd2ff634c8b8e0036d7d22834138995464a42b645705a,8007c3346790ffbbc3c5dfe07647c2a43b9e4cb37682303df69c032aa989c421
chess-opening-churn,scan,0,contract,0,0,ubsan,0,c13a6a5ec29e98c286d68f015934e4d1dc8c080ada3fe5426a89ab204d9869e8,73f03005e6b37fe98f47dcac8a8c30149d361f7fc85f85448a9757419dd18b74
chess-opening-churn,scan,1,contract,0,0,ubsan,0,53e89c40a80de471e5ce08e5592e3e05835c12e18c94560fa15374738a6d5d77,82cb9db99f453ed84e4f26b3a3d7153088cd13df13370696d6d3bb050f9e4b68
chess-opening-churn,scan,3,contract,0,0,ubsan,1,0997f2c7e1abc0fd548cd2ff634c8b8e0036d7d22834138995464a42b645705a,51569084fa59df30c263f2c9c14133deb3c32b392a15efcc8d1a1a9e9479f0aa
chess-castling-hits,hash,0,contract,0,0,ubsan,0,798b9abca68afe2dfec5e4276a602a2ecda8a4c6bdf73f99d3696c5414b31b79,bd796b6a43eb84bd45097a1aa72e7d7989d775fdc9402b7f8ec0434f6c4233a1
chess-castling-hits,hash,1,contract,0,0,ubsan,0,dff17f37ec9d02e2be1ead5a9fcb96cf9329e72e11e33b4bcbabbee0ebd555b2,e18ac61c4696e3e176eb79e95ff0100c1bce0debcaa88145df5546b4be798a4a
chess-castling-hits,hash,3,contract,0,0,ubsan,0,f93046fb7842ae2067e0f9fdc0cd4d3530afc3774a6b758d63717d545e42bbbf,8696e7409e239fa985e7bb91179a8a9f871bf20f955d5a8761010fbe82fde39a
chess-castling-hits,scan,0,contract,0,0,ubsan,0,798b9abca68afe2dfec5e4276a602a2ecda8a4c6bdf73f99d3696c5414b31b79,9c3c1580dd7055b76ee5de9edeaa56b90c2640e3c47e3080bc2472c38cec7fac
chess-castling-hits,scan,1,contract,0,0,ubsan,0,dff17f37ec9d02e2be1ead5a9fcb96cf9329e72e11e33b4bcbabbee0ebd555b2,417d94813c4f18fc80d69c2f559ecbac349bb96687555983d3732f48406147c3
chess-castling-hits,scan,3,contract,0,0,ubsan,1,f93046fb7842ae2067e0f9fdc0cd4d3530afc3774a6b758d63717d545e42bbbf,4ac30305bda13be05732605348b5f5c58d73fa6af0a1918963acbacb75a78ae6
chess-castling-misses,hash,0,contract,0,0,ubsan,0,33e7e592c900f873780d75869eee1db0f3676a3815017fd88a020f54e4ff2835,bd796b6a43eb84bd45097a1aa72e7d7989d775fdc9402b7f8ec0434f6c4233a1
chess-castling-misses,hash,1,contract,0,0,ubsan,0,55d46246f94edfd0fff3d4fb5a28b49bbfb4f77527615a0884326ddc3c401e74,cb11e0205f1c6126fe3eef6355b29d5698b75a6baba8f0a185f29e7534801e99
chess-castling-misses,hash,3,contract,0,0,ubsan,0,e29e879fcf7114f0f28f420d2c01d8663f49085f876e6085852943ce32c4139c,27187b5569c213ad81747f9320459cb5afd8b29e758485ab82c8d21ec331221a
chess-castling-misses,scan,0,contract,0,0,ubsan,0,33e7e592c900f873780d75869eee1db0f3676a3815017fd88a020f54e4ff2835,9c3c1580dd7055b76ee5de9edeaa56b90c2640e3c47e3080bc2472c38cec7fac
chess-castling-misses,scan,1,contract,0,0,ubsan,1,55d46246f94edfd0fff3d4fb5a28b49bbfb4f77527615a0884326ddc3c401e74,8180973bd5640961239cf7a23f23a2739578bfb53834ec7536b10e68364c9725
chess-castling-misses,scan,3,contract,0,0,ubsan,2,e29e879fcf7114f0f28f420d2c01d8663f49085f876e6085852943ce32c4139c,9eb5a1012d987fec49d8a1cd7aba8eea3c5948a92fa6861f73eb1487cfd4b577
chess-castling-churn,hash,0,contract,0,0,ubsan,0,104277d1488239753376953b1b71fc1f14b6e3fd40940016800db3ca5e748869,bd796b6a43eb84bd45097a1aa72e7d7989d775fdc9402b7f8ec0434f6c4233a1
chess-castling-churn,hash,1,contract,0,0,ubsan,1,3d4dba21599d18b9d43c771575378604491ae75d688883f6cbab66e4c30542bb,eb5801c99fcbf0e6d862b8962637cd065ece167a2b29fb05227d752783e91366
chess-castling-churn,hash,3,contract,0,0,ubsan,1,b03d570e59d09e6553bd629a27ad6c5028ef235ccc3f263ea7e1db0943b00ba3,bc8b44a697af6c33b5a38bb61050e069daf7e4e8343fe8ef5ffd0b9cfaa0da0d
chess-castling-churn,scan,0,contract,0,0,ubsan,0,104277d1488239753376953b1b71fc1f14b6e3fd40940016800db3ca5e748869,9c3c1580dd7055b76ee5de9edeaa56b90c2640e3c47e3080bc2472c38cec7fac
chess-castling-churn,scan,1,contract,0,0,ubsan,0,3d4dba21599d18b9d43c771575378604491ae75d688883f6cbab66e4c30542bb,e63936eb21c1d4f2c95c0211ac9fa7fadcbc8e7c7e198bd15826ec4c0791a4df
chess-castling-churn,scan,3,contract,0,0,ubsan,2,b03d570e59d09e6553bd629a27ad6c5028ef235ccc3f263ea7e1db0943b00ba3,08851fc77353bdec8dcbb609a39bc919c8f6e1f8477f16a411ed66afecbe7759
chess-ep-hits,hash,0,contract,0,0,ubsan,0,c55f56101f336876d9bdb2cea2aead8a0291ba07efe35b033efc405af8b49c93,e8301aadf98ef51327c6b9f1063bbbff8704bbaf7cb29afbf67f34643af250b1
chess-ep-hits,hash,1,contract,0,0,ubsan,0,17c8bad657c9551fb7468fb5354515470cc14a65b9716911b36d94e9a2b09cf4,e175d4c2cadce76991ea5951ce167ae6a9384969801b0a7eba489a5a06031443
chess-ep-hits,hash,3,contract,0,0,ubsan,0,0fd08bec97d1c443ff476308975d33809006a62afbea5c8ccabe86a1410f6d13,603ceba1786377e807de267a19804b957fc9e0325bfd86e61a49b10123caa115
